mois,dep,estim_rsa,rsa
2017-09-01,70,0,4490
2017-09-01,71,0,10120
2017-09-01,72,0,11000
2017-09-01,73,0,5520
2017-09-01,74,0,7930
2017-09-01,75,0,63050
2017-09-01,76,0,40990
2017-09-01,77,0,28500
2017-09-01,78,0,21840
2017-09-01,79,0,6810
2017-09-01,80,0,18350
2017-09-01,81,0,10360
2017-09-01,82,0,6510
2017-09-01,83,0,30910
2017-09-01,84,0,16710
2017-09-01,85,0,7510
2017-09-01,86,0,11970
2017-09-01,87,0,9510
2017-09-01,88,0,10790
2017-09-01,89,0,9030
2017-09-01,90,0,4290
2017-09-01,91,0,26080
2017-09-01,92,0,30310
2017-09-01,93,0,82250
2017-09-01,94,0,40550
2017-09-01,95,0,32480
2017-09-01,971,0,44340
2017-09-01,972,0,35870
2017-09-01,973,0,22600
2017-09-01,974,0,94930
2017-09-01,976,0,6000
2017-10-01,01,0,7600
2017-10-01,02,0,17310
2017-10-01,03,0,9590
2017-10-01,04,0,4250
2017-10-01,05,0,2810
2017-10-01,06,0,23980
2017-10-01,07,0,6380
2017-10-01,08,0,10550
2017-10-01,09,0,5980
2017-10-01,10,0,9530
2017-10-01,11,0,16690
2017-10-01,12,0,4030
2017-10-01,13,0,78070
2017-10-01,14,0,14830
2017-10-01,15,0,2170
2017-10-01,16,0,10490
2017-10-01,17,0,16000
2017-10-01,18,0,9350
2017-10-01,19,0,3240
2017-10-01,2A,0,2390
2017-10-01,2B,0,3790
2017-10-01,21,0,9460
2017-10-01,22,0,10640
2017-10-01,23,0,2640
2017-10-01,24,0,10330
2017-10-01,25,0,12000
2017-10-01,26,0,11800
2017-10-01,27,0,13030
2017-10-01,28,0,8150
2017-10-01,29,0,17180
2017-10-01,30,0,30330
2017-10-01,31,0,36730
2017-10-01,32,0,3830
2017-10-01,33,0,41160
2017-10-01,34,0,40020
2017-10-01,35,0,16820
2017-10-01,36,0,4920
2017-10-01,37,0,13430
2017-10-01,38,0,23980
2017-10-01,39,0,3670
2017-10-01,40,0,7920
2017-10-01,41,0,6930
2017-10-01,42,0,16790
2017-10-01,43,0,3210
2017-10-01,44,0,29220
2017-10-01,45,0,15130
2017-10-01,46,0,3610
2017-10-01,47,0,9550
2017-10-01,48,0,1200
2017-10-01,49,0,15610
2017-10-01,50,0,7560
2017-10-01,51,0,13790
2017-10-01,52,0,4290
2017-10-01,53,0,3720
2017-10-01,54,0,22400
2017-10-01,55,0,5040
2017-10-01,56,0,13620
2017-10-01,57,0,27440
2017-10-01,58,0,5640
2017-10-01,59,0,111420
2017-10-01,60,0,19330
2017-10-01,61,0,7090
2017-10-01,62,0,56180
2017-10-01,63,0,15430
2017-10-01,64,0,14300
2017-10-01,65,0,5430
2017-10-01,66,0,21570
2017-10-01,67,0,26730
2017-10-01,68,0,15790
2017-10-01,69,0,45680
2017-10-01,70,0,4460
2017-10-01,71,0,10140
2017-10-01,72,0,11020
2017-10-01,73,0,5550
2017-10-01,74,0,8020
2017-10-01,75,0,63370
2017-10-01,76,0,41150
2017-10-01,77,0,28660
2017-10-01,78,0,21990
2017-10-01,79,0,6840
2017-10-01,80,0,18390
2017-10-01,81,0,10430
2017-10-01,82,0,6500
2017-10-01,83,0,31080
